,Variant,Transmission,km_driven,Owner_Type,Fuel,Price,Company,Car,Age
0,GTX + AT PETROL,Automatic,8241,1st Owner,Petrol,1895199,KIA,SELTOS,2
1,LXI,Manual,10568,1st Owner,Petrol,592499,Maruti,Swift,2
2,LXI,Manual,27659,1st Owner,Petrol,533399,Maruti,Swift,3
3,HTX 1.5 PETROL MT,Manual,32799,1st Owner,Petrol,1383099,KIA,SELTOS,2
4,C 200 AVANTGARDE,Automatic,37531,1st Owner,Petrol,2033499,Mercedes,Benz C Class,8
6,ERA 1.1 IRDE,Manual,37928,1st Owner,Petrol,271699,Hyundai,i10,9
7,VX MT PETROL,Manual,61168,2nd Owner,Petrol,658499,Honda,City,8
8,SHARP (O) 1.5 CVT IVORY,AUTOMATIC,2091,1st Owner,Petrol,1767999,MG,ASTOR,0
9,HTK PLUS 1.5 DIESEL,Manual,25067,1st Owner,Diesel,1307499,KIA,SELTOS,3
10,1.0 RXT Opt,Manual,368,1st Owner,Petrol,505099,Renault,Kwid,1
11,1.1 ERA EXICUTIVE,Manual,3812,2nd Owner,Petrol,471599,Hyundai,NEW SANTRO,2
13,LXI,Manual,5078,1st Owner,Petrol,611299,Maruti,Swift,1
14,2.2 DIESEL,Automatic,28909,2nd Owner,Diesel,1549999,Jaguar,XF,9
15,GTX + AT PETROL,Automatic,37357,1st Owner,Petrol,1659099,KIA,SELTOS,3
16,LXI,Manual,25788,1st Owner,Petrol,542299,Maruti,Dzire,4
17,1.2 i-VTEC VX MT,Manual,17511,1st Owner,Petrol,779899,Honda,WR-V,5
18,XE 1.2,Manual,7472,1st Owner,Petrol,641999,Tata,ALTROZ,1
19,SIGMA 1.2 K12,Manual,8966,1st Owner,Petrol,603599,Maruti,Baleno,2
21,MAGNA 1.2 KAPPA2,Manual,72229,1st Owner,Petrol,282899,Hyundai,i10,11
22,XZ 1.2,Manual,1086,1st Owner,Petrol,861699,Tata,ALTROZ,0
23,MAGNA 1.1 IRDE2,Manual,41439,2nd Owner,Petrol,349399,Hyundai,i10,8
24,RXT 1.0 AMT,Automatic,5972,1st Owner,Petrol,830299,Renault,Kiger,1
25,ERA 1.1 IRDE,Manual,21723,1st Owner,Petrol,210249,Hyundai,i10,13
26,VXI,Manual,28210,1st Owner,Petrol,270299,Maruti,Alto 800,8
27,LXI,Manual,48001,2nd Owner,Petrol,170299,Maruti,Alto,12
29,ERA 1.1 IRDE,Manual,44327,1st Owner,Petrol,199699,Hyundai,i10,13
30,1.4 SPORT PETROL,Manual,42490,2nd Owner,Petrol,1376149,Jeep,Compass,3
